Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
4705;Tom Papa Live in New York City;El comediante Tom Papa riffs sobre los juicios de la vida matrimonial, la paternidad en el siglo XXI, mascotas domésticas y más en su show de stand-up.;Stand-Up Comedy;Tom Papa;Rob Zombie;;December 31, 2018;2011;TV-14;57;;7.3
4706;Pioneers: First Women Filmmakers*;Esta colección restaura películas de mujeres que abordaron los problemas de los botones, trascendieron las normas y dejaron una marca sobre la historia del cine y la industria.;TV Shows;;;;December 30, 2018;1925;TV-14;;1 SEASON;
4707;A Twelve Year Night;El futuro presidente uruguayo José Mujica y sus compañeros prisioneros políticos de Tupamaro luchan por sobrevivir a 12 años de confinamiento solitario y tortura.;Dramas, International Movies;Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil, César Troncoso, Silvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren;Álvaro Brechner;;December 30, 2018;2018;TV-MA;122;;7.4
4708;Black Mirror: Bandersnatch;En 1984, un joven programador comienza a cuestionar la realidad mientras adapta una novela de fantasía oscura en un videojuego. Cuento de flexión de anuncios con múltiples terminaciones.;Dramas, International Movies, Sci-Fi & Fantasy;Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry;;United States;December 28, 2018;2018;TV-MA;312;;7.2
4709;Hashoter Hatov;Un oficial de policía honesto, aunque demasiado entusiasta, se esfuerza por hacer un buen trabajo mientras trata con sus padres que se discuten y sus compañeros de trabajo incompetentes.;Crime TV Shows, International TV Shows, TV Comedies;Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin;;Israel;December 28, 2018;2015;TV-MA;;1 SEASON;7.5
4710;Murder Mountain;En el condado de Humboldt, California, el gran negocio de la marihuana legal trae visitantes de todo el mundo. Algunos nunca se vuelven a ver.;Crime TV Shows, Docuseries;;;United States;December 28, 2018;2018;TV-MA;;1 SEASON;6.7
4711;Selection Day;Dos prodigios de cricket adolescentes luchan contra su padre dominante y un sistema apilado contra ellos para realizar sus propias ambiciones e identidades.;International TV Shows, TV Dramas, Teen TV Shows;Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi;;India;December 28, 2018;2018;TV-14;;1 SEASON;7.4
4712;The Birth Reborn 3;Esta mirada íntima a un centro de nacimiento de São Paulo presenta entrevistas con madres, activistas, médicos y parteras. Tercero en una serie de películas.;Documentaries, International Movies;;Eduardo Chauvet;;December 28, 2018;2018;TV-14;73;;
4713;When Angels Sleep;Después de que un hombre de negocios se queda dormido al volante y golpea a una mujer con su automóvil, sus interacciones con su amiga asustada desatan una serie de eventos oscuros.;Dramas, International Movies, Thrillers;Julián Villagrán, Marian Álvarez, Ester Expósito, Sira Alonso de Alarcón, Asia Ortega, Daniel Jumillas, Christian Mulas;Gonzalo Bendala;;December 28, 2018;2018;TV-MA;96;;5.4
4714;Stand Up and Away! with Brian Regan;Brian Regan combina su característico stand-up observacional con bocetos cortos y un poco de interacción de la audiencia en esta serie de comedia híbrida.;Stand-Up Comedy & Talk Shows, TV Comedies;Brian Regan;;United States;December 24, 2018;2018;TV-PG;;1 SEASON;5.9
4715;Watership Down;Un Warren of Rabbits lucha con muchas amenazas en su atrevido viaje para encontrar un nuevo hogar en esta adaptación de la novela clásica de Richard Adams.;British TV Shows, International TV Shows, TV Action & Adventure;James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins;Noam Murro;;December 24, 2018;2018;TV-PG;;1 SEASON;7.1
4716;7 Days Out;Sea testigo de la emoción y el drama detrás de escena en los siete días previos a los principales eventos en vivo en el mundo de los deportes, la moda, el espacio y la comida.;Docuseries;;;United States;December 24, 2018;2018;TV-PG;;1 SEASON;6.8
4717;Bad Seeds;Problentado por su pasado, un estafador que dirige una pequeña raqueta con su madre adoptiva encuentra la redención mientras asesora a un grupo de estudiantes difíciles.;Comedies, Dramas, International Movies;Kheiron, Catherine Deneuve, André Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic;Kheiron;;December 24, 2018;2018;TV-MA;105;;7.4
4718;Bird Box;Cinco años después de que una presencia sin ser vista sin visión lleva a la mayoría de la sociedad al suicidio, un sobreviviente y sus dos hijos hacen un intento desesperado por alcanzar la seguridad.;Dramas, Sci-Fi & Fantasy, Thrillers;Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander;Susanne Bier;;December 24, 2018;2018;R;124;;6.8
4719;LAST HOPE;Después de causar la casi extinción de la humanidad hace siete años, el genio científico Leon Lau ahora debe luchar contra el desastre ecológico que involuntariamente creó.;Anime Series, International TV Shows;Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano;;Japan;December 21, 2018;2018;TV-14;;2 SEASONS;6
4720;Perfume;Cuando se encuentra asesinado a una cantante, con sus glándulas de aroma extirpadas de su cuerpo, los detectives investigan a un grupo de amigos que asistieron a un internado con ella.;Crime TV Shows, International TV Shows, TV Dramas;Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest;;Germany;December 21, 2018;2018;TV-MA;;1 SEASON;6.9
4721;Sirius the Jaeger;"En Imperial Tokio, un grupo que se hace llamar ""Jaegers"" cazan en secreto a los vampiros que buscan el arca de Sirius. Entre ellos se encuentra el joven hombre lobo, Yuliy.";Anime Series, International TV Shows, TV Thrillers;Yuto Uemura, Takahiro Sakurai, Kenyu Horiuchi, Nanako Mori, Yusuke Kobayashi, Shunsuke Takeuchi, Junji Majima, Rie Takahashi, Hinata Tadokoro, Kenjiro Tsuda, Takehito Koyasu, Sayaka Ohara, Nobuo Tobita;;Japan;December 21, 2018;2018;TV-MA;;1 SEASON;6.8
4722;Struggle: The Life and Lost Art of Szukalski;Los artistas de Los Ángeles descubren el trabajo del escultor polaco olvidado Stanislav Szukalski, un genio loco cuya verdadera historia desarrolla el capítulo asombroso.;Documentaries;;Irek Dobrowolski;Poland, United States;December 21, 2018;2018;TV-MA;105;;7.8
4723;Aggretsuko: We Wish You a Metal Christmas;Mientras Retsuko hace desesperadamente planes para la Nochebuena, su nueva obsesión por buscar validación a través de las espirales de las redes sociales fuera de control.;Movies;Kaolip, Shingo Kato, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Yuki Takahashi, Rarecho;Rarecho;;December 21, 2018;2018;TV-PG;22;;7.3
4724;Lang Tong;Después de seducir a un estafador filanderoso, una joven rebelde solicita su ayuda para llevar a cabo un crimen atroz contra su hermana.;International Movies, Thrillers;William Lawandi, Angeline Yap, Vivienne Tseng, Esther Goh, Alan Tan;Sam Loh;;December 21, 2018;2015;TV-MA;82;;4.6
4725;Ascharyachakit!;Enredando la vida de una estrella de cine, un chofer, una prostituta y un proxeneta, este audaz drama revela verdades feas debajo de la deslumbrante chapa de Mumbai.;Dramas, Independent Movies, International Movies;Priyanka Bose, Vaibhav Raj Gupta, Santosh Juvekar, Anangsha Biswas, Ankit Raaj, Kashmira Irani, Kailash Waghmare, Vipin Sharma;Samit Kakkad;;December 21, 2018;2018;TV-MA;90;;4.9
4726;Ellen DeGeneres: Relatable;En su primer especial desde 2003, Ellen vuelve a visitar su camino hacia el estrellato y detalla las lecciones sinceras y hilarantes que ha aprendido en el camino.;Stand-Up Comedy & Talk Shows, TV Comedies;Ellen DeGeneres;Joel Gallen, Tig Notaro;;December 21, 2018;2018;TV-MA;;1 SEASON;6.3
4727;Lilli;Una mujer que está a punto de dar a luz encuentra que sus instintos maternos se activan cuando es secuestrada, encarcelada y brutalizada por una pandilla viciosa.;Dramas, Independent Movies, International Movies;Samyuktha Menon, Aaryan Menon, Dhanesh Anand, Kannan Nayar, Sajin Cherukayil, Kevin Jose, Athulya;Prasobh Vijayan;;December 21, 2018;2018;TV-MA;85;;5.9
4728;Prince of Peoria: A Christmas Moose Miracle;¡Teddy nunca se perdió el festival de las luces, pero la bolera ha sido nevada! No se preocupe: Emil insiste en que el alce navideño salvará el día.;Children & Family Movies, Comedies;Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams;Jon Rosenbaum;;December 21, 2018;2018;TV-G;29;;6.7
4729;Andhadhun;El mundo de un pianista visualmente discapacitado atiende a una serie de impactantes giros después de que involuntariamente aterriza en la escena del asesinato de una ex estrella de cine.;Comedies, Dramas, International Movies;Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan, Manav Vij, Zakir Hussain, Ashwini Kalsekar, Chhaya Kadam, Pawan Singh, Kabir Sajid;Sriram Raghavan;;December 21, 2018;2018;TV-14;137;;8.1
4730;Ashes of Love;Escondido por su madre, la diosa floral, el ingenuo Jinmi se siente atraído por Xufeng, el hijo del emperador celestial. Sin embargo, las fuerzas conspiran contra ellos.;International TV Shows, Romantic TV Shows, TV Comedies;Yang Zi, Deng Lun, Luo Yunxi;;China;December 16, 2018;2018;TV-14;;1 SEASON;8.4
4731;Dragons: Dawn of the Dragon Racers;"La aventura ""Cómo entrenar a tu dragón"" continúa cuando una caza de ovejas perdidas se convierte en una competencia feroz y llena de diversión.";Children & Family Movies, Comedies;Jay Baruchel, America Ferrera, Zack Pearlman, Christophertz-Plasse, T.J. Miller, Andree Vermeulen;Elaine Bogan, John Sanford;;December 16, 2018;2014;TV-PG;27;;6.5
4732;DreamWorks Holiday Classics;Únase a sus amigos de DreamWorks para estos cuatro especiales de vacaciones, con Shrek y Donkey, Hipo y Toothless, y los animales locos de Madagascar.;Kids' TV, TV Comedies;Ben Stiller, David Schwimmer, Chris Rock, Jada Pinkett Smith, Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Eddie Murphy, Mike Myers, Antonio Banderas, Cameron Diaz;;United States;December 16, 2018;2011;TV-PG;;1 SEASON;5.8
4733;Springsteen on Broadway;Bruce Springsteen comparte historias personales de su vida y versiones acústicas de algunas de sus canciones más conocidas en un espectáculo íntimo de un solo hombre.;Music & Musicals;Bruce Springsteen;Thom Zimny;;December 16, 2018;2018;TV-MA;153;;8.4
4734;F.R.E.D.I.;Aventándose en el bosque, el estudiante de secundaria James descubre un robot inteligente que debe salvar de las manos de un hombre de negocios con un esquema malvado.;Children & Family Movies, Sci-Fi & Fantasy;Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen;Sean Olson;;December 16, 2018;2018;TV-PG;90;;5
4735;Flowers;Entre un matrimonio problemático, una abuela senil y hermanos gemelos constantemente en rivalidad, un hogar desmoronado lucha por apenas mantenerlo unido.;British TV Shows, International TV Shows, TV Comedies;Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter;;United Kingdom;December 15, 2018;2018;TV-MA;;2 SEASONS;8
4736;Sad Hill Unearthed;"Un grupo ecléctico de fanáticos del intento ""The Good, The Bad and the Ugly"" de 1966 para restaurar el cementerio ambientado en España donde se filmó el clímax de la película.";Documentaries, International Movies;;Guillermo de Oliveira;Spain;December 15, 2018;2017;TV-14;83;;7.5
4737;Vanjagar Ulagam;Shyam se despierta para descubrir que se sospecha en un asesinato que un periodista cree que puede tener vínculos con un misterioso gángster.;Dramas, International Movies, Thrillers;Guru Somasundaram, Cibi Bhuvana Chandran, Vishagan Vanangamudi, Anisha Ambrose, Chandini Tamilarasan, Azhagamperumal, John Vijay, Vasu Vikram, Hareesh Peradi, Jayaprakash Radhakrishnan;Manoj Beedha;;December 15, 2018;2018;TV-MA;145;;6.2
4738;Hymn of Death;Durante el período colonial japonés, el dramaturgo casado Kim U-Jin se enamora de la soprano Yun Sim-Deok, una de las nuevas mujeres notables de Corea.;International TV Shows, Korean TV Shows, Romantic TV Shows;Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha;;South Korea;December 14, 2018;2018;TV-14;;1 SEASON;7.5
4739;ROMA;El director Alfonso Cuarón ofrece un retrato vívido y emocional de la vida doméstica y la jerarquía social con la agitación política de México de la década de 1970.;Dramas, Independent Movies, International Movies;Yalitza Aparicio, Marina de Tavira;Alfonso Cuarón;;December 14, 2018;2018;R;135;;7.6
4740;The Fix;Comediantes Jimmy Carr, D.L. Hughley y Katherine Ryan abordan los problemas del mundo con la ayuda de una tripulación giratoria de invitados divertidos y un experto real.;TV Comedies;Jimmy Carr, D.L. Hughley, Katherine Ryan;;United States;December 14, 2018;2018;TV-MA;;1 SEASON;6.9
4741;The Innocent Man;Esta adaptación documental del único libro de no ficción de John Grisham plantea preguntas preocupantes sobre dos casos de asesinato en ADA, Oklahoma, en la década de 1980.;Crime TV Shows, Docuseries;John Grisham;;United States;December 14, 2018;2018;TV-MA;;1 SEASON;7.4
4742;Tidelands;El regreso del ex MCTEER en su ciudad natal de Orphelin Bay quita la tapa de una conspiración de silencio de generaciones de un asesinato, drogas y sirenas.;Crime TV Shows, International TV Shows, TV Dramas;Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden;;Australia;December 14, 2018;2018;TV-MA;;1 SEASON;6.6
4743;Travelers;Un agente federal rastrea a cuatro personas que de repente parecen poseer personalidades completamente nuevas, lo que lleva a un descubrimiento sorprendente sobre el futuro de la humanidad.;Crime TV Shows, International TV Shows, TV Dramas;Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore;;Canada, United States;December 14, 2018;2018;TV-MA;;3 SEASONS;8
4744;Voltron: Legendary Defender;En una serie completamente nueva, cinco héroes poco probables y sus leones robotes voladores se unen para formar el Megapowerful Voltron y defender el universo del mal.;Kids' TV;Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio;;United States;December 14, 2018;2018;TV-Y7;;8 SEASONS;8.2
4745;Wanted;Los extraños de opuesto polar Lola y Chelsea se convierten en socios en la carrera cuando son testigos de un asesinato que involucra a policías sucios y están enmarcados por el crimen.;Crime TV Shows, International TV Shows, TV Dramas;Rebecca Gibney, Geraldine Hakewill, Stephen Peacocke;;Australia;December 13, 2018;2018;TV-14;;3 SEASONS;7.5
4746;Back Street Girls -GOKUDOLS-;Para pagar un error épico, tres hermanos Yakuza se ven obligados a alterar sus cuerpos, formar un grupo de chicas y entrar en la escena subterránea de J-Pop Idol.;Anime Series, International TV Shows;Daisuke Ono, Satoshi Hino, Kazuyuki Okitsu, Yuka Nukui, Kaori Maeda, Hikaru Akao, Junichi Suwabe, Keiji Fujiwara;;Japan;December 12, 2018;2018;TV-MA;;1 SEASON;6.9
4747;Out of Many, One;En este documental corto, un grupo diverso de hombres y mujeres discuten sus viajes personales mientras se preparan para la prueba de ciudadanía estadounidense.;Documentaries;;John Hoffman, Nanfu Wang;United States;December 12, 2018;2018;TV-PG;35;;5.5
4748;Vir Das: Losing It;El mundo tiene muchos problemas, pero Vir Das tiene muchas respuestas mientras discute los viajes, la religión, su infancia y más en este especial de pie.;Stand-Up Comedy;Vir Das;Marcus Raboy;;December 12, 2018;2018;TV-MA;68;;7.1
4749;5 Star Christmas;Cuando el Primericio Italiano se encuentra con su amante y su rival político mientras está en un viaje oficial a Budapest durante la semana de Navidad, las cosas se vuelven al revés.;Comedies, International Movies;Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paolaaccioni;Marco Risi;;December 12, 2018;2018;TV-14;96;;4.7
4750;Dogs of Berlin;Dos policías investigan el asesinato de un famoso jugador de fútbol turco-alemán, pero una de ellas tiene conexiones infractor que se enfrentan en la controversia.;Crime TV Shows, International TV Shows, TV Dramas;Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler;;Germany;December 7, 2018;2018;TV-MA;;1 SEASON;7.4
4751;Dumplin';Para demostrar un punto sobre la medición y el ajuste, la adolescente de Texas Willowdean Dickson ingresa a un concurso local dirigido por su ex reina de la reina.;Comedies, Dramas, Independent Movies;Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Gingerj, Hilliary Begley;Anne Fletcher;;December 7, 2018;2018;PG-13;110;;6.7
4752;Free Rein: The Twelve Neighs of Christmas;A medida que los campos brillantes se preparan para su balón de muérdago, un adorno roto lleva a Zoe a un secreto familiar, mientras que Gaby se encuentra a merced del nuevo jefe Mia.;Children & Family Movies, Dramas;Jaylen Barron, Billy Angel, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoff McGivern, Martin Bobb-Semple;Marek Losey;;December 7, 2018;2018;TV-G;58;;6.4
4753;Mowgli: Legend of the Jungle;Un niño huérfano criado por animales en la jungla agarra su destino mientras enfrenta a un enemigo peligroso y sus propios orígenes humanos.;Action & Adventure, Children & Family Movies, Dramas;Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris, Andy Serkis, Rohan Chand, Peter Mullan, Jack Reynor, Eddie Marsan, Tom Hollander, Louis Ashbourne Serkis, Matthew Rhys, Freida Pinto;Andy Serkis;;December 7, 2018;2018;PG-13;105;;6.4
4754;Neo Yokio;Junto a su fiel-buter mecha, Kaz Kaan persigue a las fuerzas de amor, moda y sobrenaturales en medio de la siniestra sociedad siniestra de Neo Yokio.;TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows;Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise;;United States;December 7, 2018;2018;TV-MA;;2 SEASONS;5.8
4755;Pine Gap;En el máximo secreto de la Instalación de Defensa Conjunta de los Estados Unidos-Australia Pine Gap, las fisuras aparecen en la Alianza Crítica a medida que los espías trabajan con y en contra entre sí.;International TV Shows, TV Dramas;Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter;Mat King;;December 7, 2018;2018;TV-MA;;1 SEASON;7.2
4756;ReMastered: Who Killed Jam Master Jay?;Run-DMC DJ Jam Master Jay tuvo un gran impacto en la música y su comunidad. Pero los amigos y familiares todavía buscan el cierre años después de su asesinato sin resolver.;Documentaries, Music & Musicals;;Brian Oakes;;December 7, 2018;2018;TV-MA;59;;6.7
4757;Super Monsters and the Wish Star;¡Los deseos de Navidad se hacen realidad para Lobo, cuyo primo favorito llega para una visita sorpresa, y para Glorb, que desea poder estar en todas partes a la vez!;Children & Family Movies;Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero;Jacob Joice;;December 7, 2018;2018;TV-Y;28;;5.6
4758;The American Meme;Las redes sociales están protagonizadas por Paris Hilton, Josh Ostrovsky, Brittany Furlan y Kirill Bichutsky Hustle para construir imperios en línea, y enfrentan las trampas de la fama.;Documentaries;Paris Hilton, Josh Ostrovsky, Brittany Furlan, Kirill Bichutsky, DJ Khaled, Emily Ratajkowski, Hailey Baldwin;Bert Marcus;;December 7, 2018;2018;TV-MA;98;;6.9
4759;RUSSELL BRAND: RE:BIRTH;Russell Brand se vuelve locuaz en Londres mientras reflexiona sobre el estado del mundo y se maravilla de cómo su vida cambió en el momento en que se convirtió en padre.;Stand-Up Comedy;Russell Brand;Chris Howe;;December 4, 2018;2018;TV-MA;63;;6.3
4760;The Sound of Your Heart: Reboot;Webtoonist Cho Seok está de regreso con más anécdotas de confusiones, travesuras involuntarias y errores de baño en este reinicio protagonizado por un elenco completamente nuevo.;International TV Shows, Korean TV Shows, TV Comedies;Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung;;South Korea;December 3, 2018;2018;TV-14;;2 SEASONS;5.7
4761;Memories of the Alhambra;Mientras busca al creador críptico de un innovador juego de realidad aumentada, una ejecutiva de firmas de inversión se encuentra con una mujer que dirige un albergue en España.;Crime TV Shows, International TV Shows, Korean TV Shows;Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung;;South Korea;December 2, 2018;2018;TV-MA;;1 SEASON;7.7
4762;Teefa in Trouble;Un gángster contrata a Goon Teefa para secuestrar a la hija de su amigo por un matrimonio arreglado, pero las cosas se vuelven complicadas cuando Teefa desarrolla sentimientos por la niña.;Action & Adventure, Comedies, International Movies;Ali Zafar, Maya Ali, Javed Sheikh, Mehmood Aslam, Faisal Qureshi, Nayyar Ejaz, Asma Abbas, Marhoom Ahmad Bilal, Simi Raheal, Salman Bokhari;Ahsan Rahim;;December 2, 2018;2018;TV-14;155;;7.1
4763;A Beautiful Life;Después de reunirse en circunstancias incómodas, una empresaria glamorosa y un policía de tradición comienzan una relación que cambia sus vidas.;Dramas, International Movies, Romantic Movies;Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin;Andrew Lau Wai-Keung;;December 2, 2018;2011;TV-14;122;;6.5
4764;Accident;Un asesino contratado experto en organizar accidentes letales teme que pueda ser víctima de su propia estrategia cuando un cómplice muere en un misterioso accidente.;International Movies, Thrillers;Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok;Cheang Pou Soi;;December 2, 2018;2009;TV-MA;87;;6.4
4765;Ayotzinapa, el paso de la tortuga;Profundizando en la desaparición de 43 estudiantes universitarios en México, este documental busca dar justicia y una voz a las víctimas y sus familias.;Documentaries, International Movies;;Enrique García Meza;Mexico;December 1, 2018;2018;TV-MA;73;;7.5
4766;Battle;Después de que el padre de Amalie se declara en bancarrota, la vida rica del joven bailarín se derrumba. Pero encuentra un nuevo ritmo que seguir después de conocer al bailarín de hip-hop Mikael.;Dramas, International Movies, Romantic Movies;Lisa Teige, Fabian Svegaard Tapia, Vebjørn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster;Katarina Launing;;December 1, 2018;2018;TV-MA;98;;5.7
4767;Blind Detective;Cuando un policía pierde su visión, sus habilidades de detección se mantienen agudas. Afortunadamente, un oficial novato reconoce sus extraordinarios poderes de deducción.;Action & Adventure, Comedies, International Movies;Andy Lau, Sammi Cheng, Gao Yuanyuan, Guo Tao, Philip Keung, Lam Suet, Lo Hoi-pang, Tai-Lo Ma, Man-Wai Wong, Ying-Ying Yiu, Yi Zi;Johnnie To;;December 1, 2018;2013;TV-MA;130;;6.3
4768;Crossroads: One Two Jaga;En Kuala Lumpur, una trabajadora doméstica abusada intenta escapar a Indonesia, mientras que un policía idealista insiste en combatir la corrupción, a un precio pesado.;Dramas, International Movies;Zahiril Adzim, Ario Bayu, Asmara Abigail, Rosdeen Suboh, Amerul Affendi, Iedil Putra, Timothy Castillo, Chew Kin Wah, Along Eyzendy, Nam Ron;Nam Ron;;December 1, 2018;2018;TV-14;81;;6.3
4769;Don't Go Breaking My Heart;Un analista financiero sucumbe a un triángulo amoroso con un arquitecto que bebe mucho y un hermano de inversión promiscua, que pronto se convierte en su jefe.;Comedies, International Movies, Romantic Movies;Louis Koo, Gao Yuanyuan, Daniel Wu;Johnnie To;;December 1, 2018;2011;TV-14;115;;6.4
4770;Haunted House;Con la ayuda de un duende de 102 años que vive debajo de su embriagador de apartamentos, dos hermanos tratan con fantasmas y se enfrentan a misterios espeluznantes.;Kids' TV, Korean TV Shows;Jo Hyun-jung, Gim Young-eun, Gim Chae-ha, I So Eun, Choe Jae-ho;;;December 1, 2018;2016;TV-Y7;;1 SEASON;
4771;Look for a Star;Mientras mantiene su identidad en secreto, un multimillonario de bienes raíces intenta cortejar a un crupier abierto que habla de que los jugadores no pierden su dinero.;Comedies, International Movies, Romantic Movies;Andy Lau, Qi Shu, Zhang Hanyu, Denise Ho, Dominic Lam, Xinyi Zhang, David Chiang, George Lam, Rebecca Pan, Maria Cordero, Tat-Ming Cheung;Andrew Lau Wai-Keung;;December 1, 2018;2009;TV-14;117;;5.4
4772;Once a Gangster;Dos antiguas tríadas son aprovechadas para postularse en una elección para el líder del inframundo, pero ambas quieren vidas normales. Cada uno debe burlar al otro para perder.;Action & Adventure, Comedies, International Movies;Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan;Felix Chong;;December 1, 2018;2010;TV-MA;95;;5.6
4773;Power Paandi;Jubilado, inquieto y constantemente tocador con su hijo, un ex especialista escapa en un viaje por carretera que se convierte en un viaje para encontrar su primer amor.;Dramas, Independent Movies, International Movies;Rajkiran, Dhanush, Prasanna, Chaya Singh, Revathy, Madonna Sebastian, Vidyullekha Raman;Dhanush;;December 1, 2018;2017;TV-MA;124;;7.3
4774;SDU: Sex Duties Unit;Cuatro hijos de hombres en una unidad táctica de élite Gallivant alrededor de Macao durante un fin de semana de desenfreno que los pone en problemas con la ley.;Comedies, International Movies;Chapman To, Shawn Yue, Matt Chow, Kwok Cheung Tsang;Gary Mak;;December 1, 2018;2013;TV-MA;96;;5.8
4775;1983;En este oscuro thriller de historia alternativa, un estudiante de derecho ingenuo y un detective cansado del mundo descubren una conspiración que ha tiranizado a Polonia durante décadas.;Crime TV Shows, International TV Shows, TV Dramas;Robert Wi?ckiewicz, Maciej Musia?, Michalina Olsza?ska, Andrzej Chyra, Clive Russell, Zofia Wich?acz, Edyta Olszówka, Mateusz Ko?ciukiewicz, Ewa B?aszczyk, Vu Le Hong, Tomasz W?osok, Krzysztof Wach;;Poland, United States;November 30, 2018;2018;TV-MA;;1 SEASON;6.9
4776;A Christmas Prince: The Royal Wedding;Un año después de ayudar a Richard a asegurar la corona, Amber regresa a Aldovia para planificar su boda. Pero sus simples gustos se enfrentan con el protocolo real.;Children & Family Movies, Dramas, Romantic Movies;Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh;John Schultz;;November 30, 2018;2018;TV-PG;93;;5.5
